customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,predicted_income,final_income,clt_categories
2443.665166,92834,61,15,56,0,1,292.8,43860,92834,Very Low
12819.10289,10105,172,5,4,3,3,0.517753,10105,10105,Very Low
4468.510542,0,73,7,57,3,5,579.165954,40113,40113,Very Low
5514.344018,23218,71,7,10,0,4,447.79344,23218,23218,Very Low
3343.875326,0,92,11,77,0,1,529.624084,30244,30244,Very Low
2294.478927,0,62,11,56,0,1,313.023175,57023,57023,Very Low
36707.42639,24804,104,1,28,0,2,593.830288,24804,24804,Moderate
33473.34946,33190,106,18,95,0,2,508.8,33190,33190,Low
7983.431709,36014,69,4,40,3,2,173.956072,36014,36014,Very Low
4854.745666,29834,64,19,44,0,3,307.2,21366,29834,Very Low
4293.997319,16701,113,20,26,0,1,831.625979,11811,16701,Very Low
7164.395543,46623,91,1,53,0,3,436.8,46623,46623,Very Low
7619.5158,64749,64,24,59,0,2,302.56519,19508,64749,Very Low
3958.002823,0,101,29,12,0,1,484.8,75648,75648,Very Low
4499.493252,16969,124,34,47,2,1,704.768111,16969,16969,Very Low
4059.567414,11621,108,4,98,0,1,518.4,11621,11621,Very Low
4458.113369,17622,65,1,36,1,3,312.0,17622,17622,Very Low
8110.333139,11489,105,4,50,0,6,504.0,11489,11489,Very Low
3339.764873,0,94,20,53,0,1,863.327324,27782,27782,Very Low
24261.01777,66525,100,0,86,0,2,104.331355,54586,66525,Low
6613.973653,0,63,21,28,0,2,676.391482,46621,46621,Very Low
2930.693543,33663,73,29,71,0,1,350.4,17576,33663,Very Low
8672.194272,22547,112,7,60,0,3,537.6,21829,22547,Very Low
11638.66926,61486,97,5,65,0,2,465.258644,30658,61486,Very Low
6846.150323,0,95,13,20,0,5,456.0,12075,12075,Very Low
11727.77648,29879,102,17,0,0,2,500.254235,88340,29879,Very Low
22643.83478,93011,113,17,12,0,2,281.451042,28613,93011,Low
2614.474305,65186,65,29,27,0,1,5.434505,65186,65186,Very Low
2451.752695,26840,64,1,47,2,1,307.2,26840,26840,Very Low
6781.270203,0,104,30,3,1,5,982.399613,20179,20179,Very Low
4974.801539,75644,65,5,68,3,9,467.803638,75644,75644,Very Low
8591.604933,38984,73,27,38,0,2,350.4,20072,38984,Very Low
5592.161392,71811,71,17,48,0,6,29.03416,39293,71811,Very Low
8009.472833,20961,67,20,33,0,2,321.6,20961,20961,Very Low
11318.08982,38923,99,6,83,2,2,115.728852,21450,38923,Very Low
58166.55351,61321,186,0,30,1,2,427.63121,48367,61321,High
8025.229358,0,77,20,26,0,2,25.807685,37520,37520,Very Low
5780.182197,51066,74,23,0,0,8,787.993313,51066,51066,Very Low
4118.539113,34378,102,12,54,0,1,489.6,28855,34378,Very Low
2523.07015,43072,63,35,15,0,1,302.4,43072,43072,Very Low
6554.216396,25222,90,28,69,0,3,475.623251,13088,25222,Very Low
7703.397294,36765,66,15,32,1,2,320.849072,36765,36765,Very Low
5926.729379,23091,96,28,90,5,5,460.8,23091,23091,Very Low
2683.470677,48269,69,3,79,3,1,282.151207,25925,48269,Very Low
2695.182419,32720,67,13,12,0,1,321.6,30027,32720,Very Low
6047.02516,20396,76,15,60,1,4,364.8,20396,20396,Very Low
13171.01282,21513,119,21,81,1,2,679.827592,21513,21513,Very Low
10656.88195,72540,88,7,3,0,2,631.743039,72540,72540,Very Low
2527.653796,80744,63,24,84,0,1,11.879037,50450,80744,Very Low
2672.095756,52822,67,23,88,0,1,350.529033,52822,52822,Very Low
5313.294035,0,77,8,10,1,9,863.3947,44379,44379,Very Low
20946.19251,69738,74,2,26,1,2,492.127532,20053,69738,Low
8375.353929,17780,109,12,18,0,9,132.588288,17780,17780,Very Low
4801.661503,18107,62,29,11,0,8,297.6,18107,18107,Very Low
5745.94334,57740,74,30,87,3,9,269.905129,48207,57740,Very Low
6066.115969,32627,76,11,60,0,7,380.036697,25915,32627,Very Low
8002.308333,0,107,3,65,0,3,513.6,58789,58789,Very Low
2393.915369,0,70,24,10,0,1,425.266308,60060,60060,Very Low
4762.8179,65795,62,2,85,1,3,49.011099,25746,65795,Very Low
4330.38602,60475,107,9,18,0,1,513.6,60475,60475,Very Low
9402.729769,0,130,28,88,0,4,936.0,37233,37233,Very Low
6966.694527,41837,88,29,93,0,9,142.062768,30092,41837,Very Low
7694.064293,32303,65,13,34,0,2,45.152521,23541,32303,Very Low
8717.561149,0,117,5,89,1,3,561.6,43720,43720,Very Low
5928.748528,40531,74,17,32,0,9,30.567357,36088,40531,Very Low
2452.977288,79898,62,5,86,1,1,271.606799,41408,79898,Very Low
6701.571657,56398,85,4,18,0,7,408.0,36464,56398,Very Low
7556.24034,35257,98,16,2,1,8,470.4,35257,35257,Very Low
8492.6988,27804,109,19,54,0,7,784.8,27804,27804,Very Low
7713.494046,45506,66,16,32,2,2,316.8,34244,45506,Very Low
24084.5352,65196,67,0,54,0,2,396.082036,37282,65196,Low
7290.069769,0,102,11,70,1,3,489.6,36576,36576,Very Low
4772.943848,20993,133,35,90,0,1,638.4,20993,20993,Very Low
6806.491395,37839,86,35,77,0,9,465.633954,30092,37839,Very Low
2469.781334,92711,62,24,10,0,1,368.400146,60060,92711,Very Low
3103.923041,74665,78,10,90,2,1,236.902001,64640,74665,Very Low
2981.875575,0,83,26,89,0,1,582.679087,17752,17752,Very Low
8902.737595,46833,112,6,3,0,9,64.109663,46833,46833,Very Low
5499.447223,88768,68,17,77,0,7,326.4,57240,88768,Very Low
15023.59858,28262,192,9,77,0,3,921.6,28262,28262,Very Low
2509.107875,33555,63,17,11,0,1,101.89645,33555,33555,Very Low
31221.7481,42780,113,10,27,1,2,542.4,26900,42780,Low
3133.503432,58850,78,20,26,0,1,143.747794,15514,58850,Very Low
3837.451863,21880,97,29,37,0,1,424.077159,21880,21880,Very Low
11790.49617,25251,66,13,43,0,2,316.8,25251,25251,Very Low
7838.068321,0,69,9,12,0,2,2.704934,18665,18665,Very Low
4305.808345,24188,109,14,82,0,1,523.2,69379,24188,Very Low
5973.976904,41611,74,14,8,0,8,113.801497,27972,41611,Very Low
5670.442396,28406,72,16,35,1,4,192.87572,28406,28406,Very Low
4731.749346,69833,118,32,99,0,1,828.662719,24711,69833,Very Low
8026.379641,0,74,15,91,0,2,532.8,62902,62902,Very Low
4022.963529,0,117,6,1,0,1,975.107098,21586,21586,Very Low
9618.310865,80536,119,5,83,0,3,53.798708,20290,80536,Very Low
2274.775451,0,63,2,5,0,1,606.642452,46168,46168,Very Low
9552.926922,97732,79,0,70,0,2,289.9122,60433,97732,Very Low
10388.55323,61222,89,20,55,0,2,392.604371,29484,61222,Very Low
2470.121222,0,74,7,20,0,1,721.242206,21234,21234,Very Low
5619.068508,50335,140,9,54,0,1,456.52385,39722,50335,Very Low
9047.119209,0,127,30,11,0,6,1087.995426,33397,33397,Very Low
6692.143668,63221,168,28,49,0,1,806.4,36060,63221,Very Low
3731.504584,0,96,31,34,0,1,460.8,13457,13457,Very Low
3660.770258,64495,92,34,30,0,1,251.992083,62375,64495,Very Low
7928.829252,0,72,7,75,0,2,345.6,29723,29723,Very Low
5011.751577,28859,67,24,51,3,4,321.6,18768,28859,Very Low
7988.258292,77330,99,0,21,0,3,99.257608,25075,77330,Very Low
3885.456401,0,105,3,92,0,1,504.0,50250,50250,Very Low
2659.337982,24495,70,29,65,0,1,336.0,24495,24495,Very Low
8564.768226,95697,107,29,29,0,9,178.006524,95697,95697,Very Low
4885.162511,26372,126,11,7,0,1,604.8,26372,26372,Very Low
9753.307106,17514,127,2,5,0,3,8.312729,17514,17514,Very Low
2946.153697,89270,74,17,90,0,1,316.599228,64987,89270,Very Low
2581.110945,29757,65,13,55,0,1,312.0,25772,29757,Very Low
3517.385764,51814,92,28,89,0,1,56.300724,51814,51814,Very Low
9743.350113,24028,82,14,27,0,2,393.6,24028,24028,Very Low
3873.647046,28142,105,18,50,0,1,701.708239,28142,28142,Very Low
7649.28199,52705,64,14,8,1,2,128.705563,25141,52705,Very Low
2287.59692,0,63,1,5,0,1,679.368378,21986,21986,Very Low
4475.424592,84903,111,7,63,0,1,497.126827,33488,84903,Very Low
8714.922135,0,118,14,64,0,4,566.4,13376,13376,Very Low
2248.449633,24910,63,7,63,1,1,347.857619,24910,24910,Very Low
7416.197322,0,77,15,12,2,2,554.4,28887,28887,Very Low
7771.158973,21876,68,12,28,0,2,465.41477,21876,21876,Very Low
6968.3419,0,69,33,61,1,2,496.8,12131,12131,Very Low
4250.282624,0,61,17,1,1,7,292.8,31702,31702,Very Low
19776.56654,70699,82,1,57,0,2,256.813837,58317,70699,Low
21343.46599,0,74,11,85,1,2,355.2,10475,10475,Low
2413.139714,27501,63,20,0,0,1,542.319401,27501,27501,Very Low
15363.84716,15897,101,30,99,0,2,303.148399,15897,15897,Very Low
8456.961887,25141,73,12,4,1,2,25.438063,25141,25141,Very Low
2189.642522,0,61,5,46,3,1,292.8,20200,20200,Very Low
5780.182197,51066,74,23,0,0,8,787.993313,51066,51066,Very Low
4639.981638,28358,117,24,37,0,1,84.024413,28358,28358,Very Low
4465.335703,61846,112,1,48,0,1,215.8182,61846,61846,Very Low
5968.118877,90972,74,3,47,0,8,232.926145,62120,90972,Very Low
5097.763337,0,74,3,95,0,7,532.8,32787,32787,Very Low
4076.634665,29549,104,17,51,0,1,710.433775,28142,29549,Very Low
12252.60179,0,115,12,17,1,2,552.0,51725,51725,Very Low
16936.27147,39411,217,4,29,2,4,1122.658899,39411,39411,Very Low
4892.435461,21709,62,28,17,0,3,408.374746,21576,21709,Very Low
9942.304791,67890,85,23,57,0,2,408.0,67890,67890,Very Low
3735.838129,0,110,3,16,0,1,792.0,23712,23712,Very Low
13117.52215,84311,111,11,98,4,2,532.8,25030,84311,Very Low
4574.524094,99316,114,26,53,0,1,754.358929,37530,99316,Very Low
5470.060561,54507,138,20,11,0,1,702.990032,54507,54507,Very Low
2978.84601,64586,76,3,17,0,1,206.837111,37124,64586,Very Low
6410.967544,61709,82,5,41,2,7,275.395894,28463,61709,Very Low
4479.023088,94656,111,12,79,1,1,459.738128,45281,94656,Very Low
2383.731879,0,69,5,40,0,1,496.8,12459,12459,Very Low
2764.493659,61085,70,27,34,1,1,336.0,22475,61085,Very Low
7920.105377,89284,67,7,31,3,2,321.6,36014,89284,Very Low
6889.097981,0,63,6,12,0,2,302.4,29215,29215,Very Low
3274.194616,31686,81,11,33,0,1,430.994107,24191,31686,Very Low
9951.707743,56855,255,12,1,0,1,1836.0,56855,56855,Very Low
2521.555686,53703,67,3,45,2,1,67.632476,26840,53703,Very Low
23706.11337,0,96,12,35,1,2,844.481918,24213,24213,Low
6047.02516,20396,76,15,60,1,4,364.8,20396,20396,Very Low
11140.30248,27679,150,30,28,0,3,722.486994,27679,27679,Very Low
4334.064096,23904,123,1,67,3,1,590.4,23904,23904,Very Low
2799.74791,65351,69,4,54,0,1,481.027516,20261,65351,Very Low
7923.136624,0,113,20,1,0,7,1124.427734,27042,27042,Very Low
3688.110888,0,63,0,54,3,7,669.682001,59216,59216,Very Low
12067.45599,0,116,14,35,0,2,1284.093173,28014,28014,Very Low
2924.976721,64459,72,16,64,0,1,240.259479,26744,64459,Very Low
15014.0927,32961,190,13,53,0,3,912.0,21921,32961,Very Low
9277.233839,71416,116,10,0,0,3,556.8,15142,71416,Very Low
6274.123875,68964,78,15,6,0,3,115.086827,16101,68964,Very Low
3886.647414,78108,98,12,34,0,1,470.4,60021,78108,Very Low
4386.277558,10621,67,28,22,0,5,321.6,10621,10621,Very Low
11365.26766,84910,95,4,69,0,2,383.167471,61486,84910,Very Low
5610.96434,77493,70,2,35,0,3,307.963291,21171,77493,Very Low
2912.892035,81097,74,7,67,0,1,355.2,13610,81097,Very Low
6915.729915,96610,85,6,23,0,3,520.364752,36463,96610,Very Low
6262.663307,30110,159,20,71,0,1,466.436375,30110,30110,Very Low
6503.397049,22081,84,1,9,0,6,451.670309,22081,22081,Very Low
8007.399376,0,112,12,93,0,3,537.6,49706,49706,Very Low
2929.916512,98473,72,19,69,0,1,345.6,36706,98473,Very Low
5969.55297,97431,74,1,72,0,3,355.2,29664,97431,Very Low
5473.15987,93870,69,1,96,0,8,331.2,62365,93870,Very Low
5645.396665,50366,72,9,5,0,9,428.734656,39429,50366,Very Low
6369.262355,34498,83,30,72,0,7,398.4,34498,34498,Very Low
11833.76732,16552,103,23,53,0,2,494.4,16552,16552,Very Low
6121.107929,26787,77,7,50,0,5,369.6,26733,26787,Very Low
5159.369746,0,74,2,42,0,9,831.752839,21277,21277,Very Low
2514.59196,43860,65,15,58,0,1,156.124914,43860,43860,Very Low
8668.611261,21474,114,13,72,2,9,373.428187,13908,21474,Very Low
4960.965384,18174,66,8,16,0,9,395.934815,18174,18174,Very Low
5504.139033,0,73,18,45,0,5,350.4,27357,27357,Very Low
7507.455372,60920,64,10,61,0,2,231.201886,60920,60920,Very Low
32269.85139,41520,90,18,70,0,2,289.904105,41520,41520,Low
5657.031588,0,152,12,89,0,1,729.6,45971,45971,Very Low
5061.757902,0,68,19,16,0,8,326.4,10629,10629,Very Low
5912.783829,72208,73,3,84,0,8,350.4,23604,72208,Very Low
15182.27975,53863,63,12,30,0,2,105.765111,31739,53863,Very Low
10747.03094,66446,136,8,77,0,3,639.464548,66446,66446,Very Low
2050.623512,0,61,18,26,0,1,292.8,25544,25544,Very Low
2465.444865,64997,63,7,99,1,1,383.442328,37038,64997,Very Low
5343.121327,64460,66,18,42,0,3,316.8,29834,64460,Very Low
8119.829071,46618,67,22,77,0,2,99.085943,40639,46618,Very Low
4605.265164,0,64,13,64,0,4,307.2,12201,12201,Very Low
6408.785577,49988,84,6,37,5,5,566.935022,49988,49988,Very Low
2376.533508,0,91,2,8,5,1,436.8,21636,21636,Very Low
3211.070017,16269,86,6,84,0,1,412.8,16269,16269,Very Low
5094.522262,72006,64,4,38,0,3,307.2,11698,72006,Very Low
25755.27817,0,81,3,60,2,2,388.8,26334,26334,Low
8672.229719,0,245,34,83,0,1,2345.413441,55687,55687,Very Low
8044.73072,44320,67,13,79,0,2,321.6,44320,44320,Very Low
4001.519098,19782,108,13,66,0,1,773.470977,19782,19782,Very Low
16706.11699,63933,70,35,98,0,2,424.883448,63933,63933,Very Low
8544.411077,28224,109,13,13,0,8,523.2,28224,28224,Very Low
7805.31287,21073,106,25,54,1,3,508.8,21073,21073,Very Low
6112.756868,63243,77,21,73,0,3,364.240307,53214,63243,Very Low
4772.943848,20993,133,35,90,0,1,638.4,20993,20993,Very Low
10979.09559,94827,135,5,64,0,4,354.729129,33402,94827,Very Low
5004.263818,39161,63,18,83,1,4,283.995953,39161,39161,Very Low
13223.04379,37534,84,2,0,2,2,403.2,27443,37534,Very Low
2623.31543,80210,65,30,28,0,1,20.543176,65186,80210,Very Low
17840.19555,0,62,32,59,0,2,385.115437,34665,34665,Very Low
5106.111827,30110,64,2,4,0,5,140.165035,30110,30110,Very Low
17930.60451,21708,68,28,77,0,2,326.4,21708,21708,Very Low
5457.342569,94731,67,23,65,0,4,321.6,31614,94731,Very Low
6563.644143,32375,83,17,83,0,6,398.4,32375,32375,Very Low
4812.525221,16531,63,0,40,0,4,102.879769,12964,16531,Very Low
29328.04185,32006,94,28,7,0,2,56.868289,22971,32006,Low
5773.520711,81676,72,21,86,0,8,463.158502,28343,81676,Very Low
6847.1189,71038,86,15,56,0,3,205.444066,20046,71038,Very Low
3595.31286,0,103,20,43,0,1,741.6,23599,23599,Very Low
22855.61209,20832,65,8,32,0,2,56.371967,17932,20832,Low
7859.414569,0,113,19,10,0,7,813.6,27042,27042,Very Low
4115.577437,52405,103,2,27,0,1,494.4,32180,52405,Very Low
5029.638777,0,133,3,89,0,1,795.864079,50250,50250,Very Low
4821.418454,26583,128,6,46,4,1,614.4,26583,26583,Very Low
5004.310469,25486,65,15,53,0,3,72.438681,25486,25486,Very Low
8630.053943,24065,111,30,1,0,5,532.8,24065,24065,Very Low
9322.08512,70435,116,0,50,0,4,67.881546,13154,70435,Very Low
16727.56063,0,76,33,36,2,2,402.636829,66685,66685,Very Low
3652.532435,39679,92,2,85,0,1,641.388616,25407,39679,Very Low
6158.601171,0,89,13,45,0,5,342.481173,28001,28001,Very Low
4376.083958,0,69,21,70,4,3,331.2,60596,60596,Very Low
5569.456156,53565,71,27,34,1,6,340.8,19064,53565,Very Low
2576.513006,37574,66,19,14,1,1,412.101933,20371,37574,Very Low
8346.983233,48259,108,14,79,0,3,73.700573,44986,48259,Very Low
6323.923864,78532,78,25,87,0,3,374.4,49311,78532,Very Low
5973.14343,96163,73,23,90,0,3,350.4,46061,96163,Very Low
4706.676993,0,72,0,86,0,7,345.6,29227,29227,Very Low
8093.410258,0,114,9,72,1,5,722.024742,57052,57052,Very Low
5035.744643,72672,63,7,39,0,5,259.361117,39841,72672,Very Low
9027.867218,99002,112,33,75,1,8,537.6,32607,99002,Very Low
7288.884849,79494,91,19,30,0,3,396.295614,21706,79494,Very Low
18042.47942,35704,225,21,35,0,8,358.281562,26488,35704,Very Low
4992.063043,0,71,6,5,0,3,653.388564,41396,41396,Very Low
9102.267849,26049,118,17,6,0,6,121.032372,26049,26049,Very Low
2540.407726,70125,64,21,77,0,1,92.813396,20992,70125,Very Low
12941.89193,52369,110,34,49,1,2,528.0,12470,52369,Very Low
2365.348601,0,66,25,51,2,1,159.636956,29673,29673,Very Low
5720.765064,41770,72,0,60,0,9,476.156957,41770,41770,Very Low
7035.534088,0,101,16,88,0,8,727.2,23496,23496,Very Low
2636.97773,31911,67,33,27,0,1,321.6,19581,31911,Very Low
5395.831967,70051,68,15,69,0,8,42.078345,28909,70051,Very Low
8382.630118,19683,117,17,41,1,9,561.6,19683,19683,Very Low
31161.74523,30916,112,7,65,0,2,200.11606,19066,30916,Low
2887.742258,0,80,24,95,0,1,676.944023,18486,18486,Very Low
8714.922135,0,118,14,64,0,4,566.4,13376,13376,Very Low
25585.72783,0,116,0,45,0,2,830.623064,81197,81197,Low
10272.6082,60145,132,8,28,0,3,580.473259,26367,60145,Very Low
4376.363592,63774,111,18,63,0,1,60.036683,63774,63774,Very Low
5318.89664,25134,67,3,0,0,6,321.6,25134,25134,Very Low
4719.762191,37057,61,5,48,1,6,47.53101,37057,37057,Very Low
4428.031583,58577,110,6,62,0,1,303.872752,58577,58577,Very Low
5879.176092,85857,73,3,19,0,6,100.620067,38684,85857,Very Low
9416.908485,70602,116,8,47,0,3,481.339891,37970,70602,Very Low
8288.155579,33816,106,10,97,2,3,508.8,12876,33816,Very Low
32654.8383,0,153,7,75,0,2,1101.6,24695,24695,Low
4719.450052,89642,121,11,20,4,1,86.320022,85140,89642,Very Low
3903.474784,60068,98,17,75,0,1,470.4,60068,60068,Very Low
5457.259678,50044,139,16,14,0,1,667.2,50044,50044,Very Low
2725.356404,36650,69,2,70,1,1,56.60333,36650,36650,Very Low
4433.97368,50653,110,29,42,0,1,262.865172,32510,50653,Very Low
5332.462694,68931,66,32,30,0,7,309.577946,68931,68931,Very Low
2315.094985,0,73,14,39,1,1,350.4,20934,20934,Very Low
5411.953687,0,73,1,22,0,5,365.364581,17291,17291,Very Low
9587.33234,39266,80,33,31,0,2,384.0,24589,39266,Very Low
22103.5072,0,102,35,48,0,2,489.6,19851,19851,Low
9764.945308,0,98,24,11,1,2,705.6,21509,21509,Very Low
2567.151468,40864,65,2,75,0,1,9.51528,40864,40864,Very Low
2650.622781,39035,68,15,65,0,1,244.564334,79751,39035,Very Low
11264.36334,34923,98,23,82,0,2,639.105556,33232,34923,Very Low
2168.523464,0,63,1,56,0,1,453.6,28519,28519,Very Low
8610.667489,0,111,27,36,0,9,532.8,95697,95697,Very Low
2834.646235,24506,71,7,47,0,1,511.2,24506,24506,Very Low
8930.139728,0,82,25,63,0,2,554.522969,57961,57961,Very Low
5536.386959,52220,70,17,42,1,5,336.0,28406,52220,Very Low
2840.85429,0,74,17,73,0,1,402.449823,45360,45360,Very Low
8082.880956,53554,67,6,5,0,2,327.020539,34137,53554,Very Low
5254.734278,34476,67,23,49,1,3,5.3953,31530,34476,Very Low
5116.237577,0,70,1,11,0,5,131.401291,26436,26436,Very Low
3034.646997,68205,76,35,14,0,1,99.382943,43072,68205,Very Low
8024.89992,0,119,6,48,1,8,856.8,37934,37934,Very Low
18211.14319,53690,154,20,97,0,2,739.2,53690,53690,Low
5121.563312,0,72,2,22,0,5,518.4,17291,17291,Very Low
2150.178588,0,61,28,31,0,1,292.8,29250,29250,Very Low
5595.389905,74454,71,25,29,0,3,340.8,74454,74454,Very Low
7562.824036,0,73,23,91,0,2,350.4,20545,20545,Very Low
5385.853211,29664,71,1,69,0,3,340.8,29664,29664,Very Low
4718.558501,15680,64,20,29,0,8,260.879903,15680,15680,Very Low
9422.567923,47272,79,17,17,3,2,64.546877,31991,47272,Very Low
3605.860265,21585,92,35,61,0,1,441.6,21585,21585,Very Low
7762.590564,23827,106,18,77,2,3,37.910623,13207,23827,Very Low
23444.90045,69906,74,34,32,2,2,202.860399,69906,69906,Low
2558.178159,0,72,7,77,0,1,345.6,40171,40171,Very Low
5123.170887,89879,63,17,20,0,3,94.030308,23105,89879,Very Low
2537.744494,0,69,9,89,0,1,331.2,11822,11822,Very Low
2969.593296,46131,74,27,28,0,1,355.2,29250,46131,Very Low
4363.124641,54514,109,5,36,3,1,286.234931,44369,54514,Very Low
5884.308607,0,161,29,1,0,1,1159.2,31670,31670,Very Low
5272.191556,96668,66,2,95,0,3,316.8,37473,96668,Very Low
5509.895664,78879,69,9,67,1,4,466.570791,35625,78879,Very Low
16313.68349,0,69,21,86,0,2,331.2,30622,30622,Very Low
5678.050167,0,76,8,44,0,3,364.8,20123,20123,Very Low
12101.20884,0,112,28,30,0,2,1252.406235,28582,28582,Very Low
2453.570794,29735,69,3,92,0,1,331.2,29735,29735,Very Low
5075.66267,23082,65,18,90,0,7,312.0,23082,23082,Very Low
3214.979402,53984,80,15,62,0,1,421.484456,38821,53984,Very Low
12275.34309,52135,156,6,86,0,9,430.505942,52135,52135,Very Low
2722.210707,17576,71,29,70,0,1,398.502948,17576,17576,Very Low
2457.440923,29486,62,19,73,0,1,7.646763,29486,29486,Very Low
3554.845264,58557,88,4,83,0,1,55.510526,58557,58557,Very Low
4929.549699,25632,63,27,52,0,7,351.270869,25632,25632,Very Low
8036.45034,0,112,7,42,0,9,806.4,20815,20815,Very Low
4276.915328,18768,68,19,53,3,3,647.454583,18768,18768,Very Low
33473.34946,33190,106,18,95,0,2,508.8,33190,33190,Low
5960.581363,47945,74,32,39,0,3,128.43823,24031,47945,Very Low
44795.46942,58778,126,6,62,0,2,302.033971,28311,58778,Moderate
3832.118106,15192,100,1,7,0,1,480.0,15192,15192,Very Low
6837.932624,51859,171,0,21,0,1,1003.160633,21665,51859,Very Low
5285.26816,23422,72,25,76,0,3,518.4,22726,23422,Very Low
3096.511217,21604,79,14,28,0,1,379.2,21604,21604,Very Low
3589.710715,79298,90,22,2,0,1,244.362072,28140,79298,Very Low
2582.408525,76731,64,2,68,0,1,201.455005,76731,76731,Very Low
2487.729726,67282,62,29,27,0,1,297.6,65186,67282,Very Low
13575.67599,48534,115,29,79,1,2,552.0,25852,48534,Very Low
4685.504251,77678,116,32,81,0,1,741.418485,58089,77678,Very Low
28685.82785,48412,104,15,23,0,2,707.430832,20587,48412,Low
2764.032126,33837,72,29,54,4,1,305.575785,33837,33837,Very Low
6183.111464,23712,85,2,20,0,3,376.126419,23712,23712,Very Low
3873.647046,28142,105,18,50,0,1,701.708239,28142,28142,Very Low
18929.3306,72196,68,8,61,0,2,152.184244,39034,72196,Low
5553.295758,68197,69,1,81,0,3,176.819414,29730,68197,Very Low
5011.259184,75248,63,13,71,0,5,104.454624,28919,75248,Very Low
10442.44633,0,98,9,50,0,2,941.718054,31409,31409,Very Low
2199.61781,0,65,5,19,1,1,468.0,29286,29286,Very Low
8709.845263,41546,111,4,47,0,3,121.306839,64125,41546,Very Low
7484.310483,46998,96,13,98,0,6,460.8,13129,46998,Very Low
2613.023132,57099,67,20,37,0,1,67.859881,25899,57099,Very Low
9080.639651,33897,114,15,67,0,8,539.843003,33897,33897,Very Low
13770.97618,59207,116,23,21,0,2,556.8,59207,59207,Very Low
2876.822941,40171,73,8,78,0,1,350.4,20848,40171,Very Low
5548.031892,67798,69,1,78,0,9,331.2,67798,67798,Very Low
5097.526248,21665,136,0,25,0,1,765.709629,21665,21665,Very Low
24143.87556,0,87,9,75,0,2,626.4,22711,22711,Low
3538.059456,0,67,12,67,5,7,321.6,17200,17200,Very Low
